TAIRID	Tissue_specificity
AT1G61400	embryo.all
AT1G61460	embryo.all
AT1G61500	embryo.all
AT1G61570	embryo.all
AT1G61580	embryo.all
AT1G61670	embryo.all
AT1G61870	embryo.all
AT1G62010	embryo.all
AT1G62045	embryo.all
AT1G62500	embryo.all
AT1G63100	embryo.all
AT1G63320	embryo.all
AT1G63810	embryo.all
AT1G64670	embryo.all
AT1G64880	embryo.all
AT1G65130	embryo.all
AT1G65180	embryo.all
AT1G65820	embryo.all
AT1G65880	embryo.all
AT1G65900	embryo.all
AT1G66250	embryo.all
AT1G66580	embryo.all
AT1G67100	embryo.all
AT1G67120	embryo.all
AT1G67180	embryo.all
AT1G67320	embryo.all
AT1G67630	embryo.all
AT1G67660	embryo.all
AT1G67690	embryo.all
AT1G67780	embryo.all
AT1G67960	embryo.all
AT1G68120	embryo.all
AT1G68300	embryo.all
AT1G68640	embryo.all
AT1G68780	embryo.all
AT1G68790	embryo.all
AT1G69070	embryo.all
AT1G69410	embryo.all
AT1G69600	embryo.all
AT1G69770	embryo.all
AT1G69870	embryo.all
AT1G69950	embryo.all
AT1G70200	embryo.all
AT1G70210	embryo.all
AT1G70470	embryo.all
AT1G70490	embryo.all
AT1G70510	embryo.all
AT1G70750	embryo.all
AT1G71260	embryo.all
AT1G71310	embryo.all
AT1G71420	embryo.all
AT1G71440	embryo.all
AT1G71460	embryo.all
AT1G71830	embryo.all
AT1G71850	embryo.all
AT1G72040	embryo.all
AT1G72340	embryo.all
AT1G72420	embryo.all
AT1G72670	embryo.all
AT1G72730	embryo.all
AT1G72830	embryo.all
AT1G73177	embryo.all
AT1G73590	embryo.all
AT1G73670	embryo.all
AT1G73690	embryo.all
AT1G73910	embryo.all
AT1G73990	embryo.all
AT1G74230	embryo.all
AT1G74260	embryo.all
AT1G74480	embryo.all
AT1G74690	embryo.all
AT1G75150	embryo.all
AT1G75200	embryo.all
AT1G75240	embryo.all
AT1G75430	embryo.all
AT1G75640	embryo.all
AT1G75990	embryo.all
AT1G76150	embryo.all
AT1G76300	embryo.all
AT1G76310	embryo.all
AT1G76420	embryo.all
AT1G76460	embryo.all
AT1G76470	embryo.all
AT1G76510	embryo.all
AT1G76740	embryo.all
AT1G76760	embryo.all
AT1G77030	embryo.all
AT1G77060	embryo.all
AT1G77130	embryo.all
AT1G77370	embryo.all
AT1G77470	embryo.all
AT1G77710	embryo.all
AT1G77720	embryo.all
AT1G77750	embryo.all
AT1G78270	embryo.all
AT1G78320	embryo.all
AT1G78430	embryo.all
AT1G78895	embryo.all
AT1G78930	embryo.all
AT1G79080	embryo.all
AT1G79150	embryo.all
AT1G79200	embryo.all
AT1G79580	embryo.all
AT1G79730	embryo.all
AT1G80030	embryo.all
AT1G80080	embryo.all
AT1G80090	embryo.all
AT1G80370	embryo.all
AT1G80450	embryo.all
AT1G80620	embryo.all
AT1G80720	embryo.all
AT1G80750	embryo.all
AT1G80870	embryo.all
AT2G01210	embryo.all
AT2G01270	embryo.all
AT2G01290	embryo.all
AT2G01510	embryo.all
AT2G01600	embryo.all
AT2G01770	embryo.all
AT2G01970	embryo.all
AT2G02360	embryo.all
AT2G02400	embryo.all
AT2G02480	embryo.all
AT2G02540	embryo.all
AT2G02760	embryo.all
AT2G02960	embryo.all
AT2G03090	embryo.all
AT2G03120	embryo.all
AT2G03310	embryo.all
AT2G03670	embryo.all
AT2G04060	embryo.all
AT2G04620	embryo.all
AT2G04660	embryo.all
AT2G04940	embryo.all
AT2G07170	embryo.all
AT2G07738	embryo.all
AT2G13540	embryo.all
AT2G14660	embryo.all
AT2G15630	embryo.all
AT2G15690	embryo.all
AT2G15820	embryo.all
AT2G15900	embryo.all
AT2G16390	embryo.all
AT2G16510	embryo.all
AT2G16780	embryo.all
AT2G17620	embryo.all
AT2G18220	embryo.all
AT2G18330	embryo.all
AT2G18390	embryo.all
AT2G18500	embryo.all
AT2G18520	embryo.all
AT2G18900	embryo.all
AT2G19290	embryo.all
AT2G19670	embryo.all
AT2G20060	embryo.all
AT2G21050	embryo.all
AT2G21120	embryo.all
AT2G21385	embryo.all
AT2G21440	embryo.all
AT2G21790	embryo.all
AT2G22000	embryo.all
AT2G22560	embryo.all
AT2G22870	embryo.all
AT2G23050	embryo.all
AT2G23360	embryo.all
AT2G23470	embryo.all
AT2G23480	embryo.all
AT2G23530	embryo.all
AT2G24310	embryo.all
AT2G24350	embryo.all
AT2G24800	embryo.all
AT2G24970	embryo.all
AT2G25210	embryo.all
AT2G25300	embryo.all
AT2G25790	embryo.all
AT2G25890	embryo.all
AT2G26180	embryo.all
AT2G26470	embryo.all
AT2G26520	embryo.all
AT2G26700	embryo.all
AT2G26710	embryo.all
AT2G26730	embryo.all
AT2G27610	embryo.all
AT2G27970	embryo.all
AT2G28570	embryo.all
AT2G28600	embryo.all
AT2G28610	embryo.all
AT2G28790	embryo.all
AT2G29390	embryo.all
AT2G29460	embryo.all
AT2G29530	embryo.all
AT2G29540	embryo.all
AT2G29570	embryo.all
AT2G29760	embryo.all
AT2G29900	embryo.all
AT2G30000	embryo.all
AT2G30130	embryo.all
AT2G30280	embryo.all
AT2G30370	embryo.all
AT2G30480	embryo.all
AT2G31270	embryo.all
AT2G31340	embryo.all
AT2G31725	embryo.all
AT2G31800	embryo.all
AT2G31970	embryo.all
AT2G32060	embryo.all
AT2G32150	embryo.all
AT2G32765	embryo.all
AT2G32940	embryo.all
AT2G33680	embryo.all
AT2G33860	embryo.all
AT2G34040	embryo.all
AT2G34180	embryo.all
AT2G34357	embryo.all
AT2G34570	embryo.all
AT2G34585	embryo.all
AT2G34640	embryo.all
AT2G34710	embryo.all
AT2G34920	embryo.all
AT2G35030	embryo.all
AT2G35600	embryo.all
AT2G35605	embryo.all
AT2G35800	embryo.all
AT2G36050	embryo.all
AT2G36350	embryo.all
AT2G36400	embryo.all
AT2G36730	embryo.all
AT2G36980	embryo.all
AT2G37340	embryo.all
AT2G37380	embryo.all
AT2G37400	embryo.all
AT2G37510	embryo.all
AT2G37630	embryo.all
AT2G37880	embryo.all
AT2G37990	embryo.all
AT2G38360	embryo.all
AT2G38550	embryo.all
AT2G38810	embryo.all
AT2G38970	embryo.all
AT2G39050	embryo.all
AT2G39120	embryo.all
AT2G39140	embryo.all
AT2G39230	embryo.all
AT2G39810	embryo.all
AT2G39880	embryo.all
AT2G40030	embryo.all
AT2G40220	embryo.all
AT2G40360	embryo.all
AT2G40420	embryo.all
AT2G40550	embryo.all
AT2G40640	embryo.all
AT2G40700	embryo.all
AT2G40760	embryo.all
AT2G41340	embryo.all
AT2G42110	embryo.all
AT2G42290	embryo.all
AT2G42570	embryo.all
AT2G42710	embryo.all
AT2G42790	embryo.all
AT2G42870	embryo.all
AT2G43080	embryo.all
AT2G43190	embryo.all
AT2G43520	embryo.all
AT2G43630	embryo.all
AT2G43650	embryo.all
AT2G43800	embryo.all
AT2G44510	embryo.all
AT2G44520	embryo.all
AT2G45190	embryo.all
AT2G45440	embryo.all
AT2G45860	embryo.all
AT2G46250	embryo.all
AT2G46310	embryo.all
AT2G46910	embryo.all
AT2G46990	embryo.all
AT2G47580	embryo.all
AT2G47640	embryo.all
AT2G47680	embryo.all
AT2G47920	embryo.all
AT2G47990	embryo.all
AT3G01160	embryo.all
AT3G01520	embryo.all
AT3G01580	embryo.all
AT3G02000	embryo.all
AT3G02010	embryo.all
AT3G02125	embryo.all
AT3G02210	embryo.all
AT3G02530	embryo.all
AT3G02650	embryo.all
AT3G02990	embryo.all
AT3G03060	embryo.all
AT3G03130	embryo.all
AT3G03560	embryo.all
AT3G03810	embryo.all
AT3G03920	embryo.all
AT3G04630	embryo.all
AT3G04820	embryo.all
AT3G05060	embryo.all
AT3G05070	embryo.all
AT3G05130	embryo.all
AT3G05190	embryo.all
AT3G05470	embryo.all
AT3G05570	embryo.all
AT3G05600	embryo.all
AT3G05690	embryo.all
AT3G05880	embryo.all
AT3G06040	embryo.all
AT3G06170	embryo.all
AT3G06420	embryo.all
AT3G06530	embryo.all
AT3G06610	embryo.all
AT3G06660	embryo.all
AT3G06680	embryo.all
AT3G06700	embryo.all
AT3G06740	embryo.all
AT3G06780	embryo.all
AT3G06870	embryo.all
AT3G07030	embryo.all
AT3G07050	embryo.all
AT3G07130	embryo.all
AT3G07210	embryo.all
AT3G07410	embryo.all
AT3G07470	embryo.all
AT3G07770	embryo.all
AT3G08850	embryo.all
AT3G09000	embryo.all
AT3G09060	embryo.all
AT3G09070	embryo.all
AT3G09210	embryo.all
AT3G09700	embryo.all
AT3G09720	embryo.all
AT3G09780	embryo.all
AT3G10180	embryo.all
AT3G10310	embryo.all
AT3G10530	embryo.all
AT3G10810	embryo.all
AT3G11050	embryo.all
AT3G11500	embryo.all
AT3G11640	embryo.all
AT3G11964	embryo.all
AT3G12060	embryo.all
AT3G12170	embryo.all
AT3G12203	embryo.all
AT3G12340	embryo.all
AT3G12440	embryo.all
AT3G12680	embryo.all
AT3G13020	embryo.all
AT3G13070	embryo.all
AT3G13190	embryo.all
AT3G13330	embryo.all
AT3G13674	embryo.all
AT3G13772	embryo.all
AT3G13860	embryo.all
AT3G13940	embryo.all
AT3G13960	embryo.all
AT3G14020	embryo.all
AT3G14190	embryo.all
AT3G14330	embryo.all
AT3G14340	embryo.all
AT3G14350	embryo.all
AT3G14360	embryo.all
AT3G14595	embryo.all
AT3G14730	embryo.all
AT3G14900	embryo.all
AT3G14940	embryo.all
AT3G15000	embryo.all
AT3G15080	embryo.all
AT3G15140	embryo.all
AT3G15200	embryo.all
AT3G15460	embryo.all
AT3G15680	embryo.all
AT3G15710	embryo.all
AT3G15970	embryo.all
AT3G16010	embryo.all
AT3G16080	embryo.all
AT3G16480	embryo.all
AT3G16490	embryo.all
AT3G16780	embryo.all
AT3G16810	embryo.all
AT3G16840	embryo.all
AT3G16870	embryo.all
AT3G17020	embryo.all
AT3G17030	embryo.all
AT3G17160	embryo.all
AT3G17260	embryo.all
AT3G17290	embryo.all
AT3G17360	embryo.all
AT3G17450	embryo.all
AT3G17465	embryo.all
AT3G17890	embryo.all
AT3G17970	embryo.all
AT3G18050	embryo.all
AT3G18230	embryo.all
AT3G18390	embryo.all
AT3G18420	embryo.all
AT3G18510	embryo.all
AT3G18524	embryo.all
AT3G18570	embryo.all
AT3G18630	embryo.all
AT3G18720	embryo.all
AT3G18740	embryo.all
AT3G18800	embryo.all
AT3G19040	embryo.all
AT3G19184	embryo.all
AT3G19300	embryo.all
AT3G19440	embryo.all
AT3G19590	embryo.all
AT3G19810	embryo.all
AT3G20080	embryo.all
AT3G20150	embryo.all
AT3G20240	embryo.all
AT3G20430	embryo.all
AT3G20440	embryo.all
AT3G20490	embryo.all
AT3G20670	embryo.all
AT3G20840	embryo.all
AT3G20900	embryo.all
AT3G21090	embryo.all
AT3G21300	embryo.all
AT3G21660	embryo.all
AT3G22520	embryo.all
AT3G22660	embryo.all
AT3G22760	embryo.all
AT3G22845	embryo.all
AT3G22930	embryo.all
AT3G23290	embryo.all
AT3G23920	embryo.all
AT3G24160	embryo.all
AT3G24250	embryo.all
AT3G24320	embryo.all
AT3G24495	embryo.all
AT3G24515	embryo.all
AT3G24630	embryo.all
AT3G24650	embryo.all
AT3G24840	embryo.all
AT3G25100	embryo.all
AT3G25260	embryo.all
AT3G25600	embryo.all
AT3G25670	embryo.all
AT3G25905	embryo.all
AT3G25970	embryo.all
AT3G26050	embryo.all
AT3G26410	embryo.all
AT3G26540	embryo.all
AT3G26600	embryo.all
AT3G26750	embryo.all
AT3G27120	embryo.all
AT3G27220	embryo.all
AT3G27520	embryo.all
AT3G28040	embryo.all
AT3G28180	embryo.all
AT3G28500	embryo.all
AT3G28920	embryo.all
AT3G29030	embryo.all
AT3G29170	embryo.all
AT3G29230	embryo.all
AT3G29300	embryo.all
AT3G29310	embryo.all
AT3G42170	embryo.all
AT3G42660	embryo.all
AT3G42800	embryo.all
AT3G43210	embryo.all
AT3G43590	embryo.all
AT3G43800	embryo.all
AT3G44050	embryo.all
AT3G45980	embryo.all
AT3G46040	embryo.all
AT3G46210	embryo.all
AT3G46940	embryo.all
AT3G47370	embryo.all
AT3G47460	embryo.all
AT3G47530	embryo.all
AT3G47840	embryo.all
AT3G48110	embryo.all
AT3G48140	embryo.all
AT3G48540	embryo.all
AT3G48690	embryo.all
AT3G48890	embryo.all
AT3G49180	embryo.all
AT3G49240	embryo.all
AT3G49320	embryo.all
AT3G49710	embryo.all
AT3G49725	embryo.all
AT3G49740	embryo.all
AT3G49870	embryo.all
AT3G49890	embryo.all
AT3G50070	embryo.all
AT3G50410	embryo.all
AT3G50420	embryo.all
AT3G50660	embryo.all
AT3G50810	embryo.all
AT3G50830	embryo.all
AT3G50870	embryo.all
AT3G50890	embryo.all
AT3G51050	embryo.all
AT3G51160	embryo.all
AT3G51400	embryo.all
AT3G51670	embryo.all
AT3G51730	embryo.all
AT3G51740	embryo.all
AT3G52040	embryo.all
AT3G52240	embryo.all
AT3G52270	embryo.all
AT3G52760	embryo.all
AT3G53190	embryo.all
AT3G53220	embryo.all
AT3G53280	embryo.all
AT3G53310	embryo.all
AT3G53320	embryo.all
AT3G53450	embryo.all
AT3G53680	embryo.all
AT3G53700	embryo.all
AT3G53730	embryo.all
AT3G53760	embryo.all
AT3G53950	embryo.all
AT3G54260	embryo.all
AT3G54310	embryo.all
AT3G54350	embryo.all
AT3G54630	embryo.all
AT3G54750	embryo.all
AT3G54870	embryo.all
AT3G54980	embryo.all
AT3G55280	embryo.all
AT3G55510	embryo.all
AT3G55605	embryo.all
AT3G56040	embryo.all
AT3G56100	embryo.all
AT3G56120	embryo.all
AT3G56170	embryo.all
AT3G56300	embryo.all
AT3G56440	embryo.all
AT3G56630	embryo.all
AT3G56810	embryo.all
AT3G56890	embryo.all
AT3G57000	embryo.all
AT3G57080	embryo.all
AT3G57090	embryo.all
AT3G57150	embryo.all
AT3G57480	embryo.all
AT3G57660	embryo.all
AT3G57830	embryo.all
AT3G57860	embryo.all
AT3G58170	embryo.all
AT3G58590	embryo.all
AT3G58650	embryo.all
AT3G58660	embryo.all
AT3G58730	embryo.all
AT3G58770	embryo.all
AT3G59550	embryo.all
AT3G59770	embryo.all
AT3G59840	embryo.all
AT3G60080	embryo.all
AT3G60245	embryo.all
AT3G60360	embryo.all
AT3G60590	embryo.all
AT3G61090	embryo.all
AT3G61310	embryo.all
AT3G61610	embryo.all
AT3G61780	embryo.all
AT3G61790	embryo.all
AT3G61830	embryo.all
AT3G61860	embryo.all
AT3G62050	embryo.all
AT3G62100	embryo.all
AT3G62620	embryo.all
AT3G62890	embryo.all
AT3G62910	embryo.all
AT3G63080	embryo.all
AT3G63160	embryo.all
AT3G63310	embryo.all
AT4G00420	embryo.all
AT4G00530	embryo.all
AT4G00920	embryo.all
AT4G00950	embryo.all
AT4G01730	embryo.all
AT4G01880	embryo.all
AT4G01920	embryo.all
AT4G01960	embryo.all
AT4G02010	embryo.all
AT4G02220	embryo.all
AT4G02400	embryo.all
AT4G02750	embryo.all
AT4G02930	embryo.all
AT4G02990	embryo.all
AT4G03180	embryo.all
AT4G04610	embryo.all
AT4G04790	embryo.all
AT4G04870	embryo.all
AT4G04910	embryo.all
AT4G05040	embryo.all
AT4G05050	embryo.all
AT4G05210	embryo.all
AT4G05320	embryo.all
AT4G05410	embryo.all
AT4G07400	embryo.all
AT4G08150	embryo.all
AT4G08310	embryo.all
AT4G08950	embryo.all
AT4G09140	embryo.all
AT4G09830	embryo.all
AT4G09940	embryo.all
AT4G10620	embryo.all
AT4G10640	embryo.all
AT4G10850	embryo.all
AT4G11060	embryo.all
AT4G11130	embryo.all
AT4G11140	embryo.all
AT4G11150	embryo.all
AT4G11240	embryo.all
AT4G11640	embryo.all
AT4G11690	embryo.all
AT4G11920	embryo.all
AT4G12000	embryo.all
AT4G12750	embryo.all
AT4G12970	embryo.all
AT4G13670	embryo.all
AT4G14050	embryo.all
AT4G14150	embryo.all
AT4G14200	embryo.all
AT4G14220	embryo.all
AT4G14510	embryo.all
AT4G14660	embryo.all
AT4G14970	embryo.all
AT4G15630	embryo.all
AT4G15770	embryo.all
AT4G15810	embryo.all
AT4G16150	embryo.all
AT4G16190	embryo.all
AT4G16210	embryo.all
AT4G16240	embryo.all
AT4G16630	embryo.all
AT4G16700	embryo.all
AT4G17000	embryo.all
AT4G17010	embryo.all
AT4G17520	embryo.all
AT4G17530	embryo.all
AT4G17540	embryo.all
AT4G18230	embryo.all
AT4G18670	embryo.all
AT4G18750	embryo.all
AT4G18840	embryo.all
AT4G19220	embryo.all
AT4G19865	embryo.all
AT4G20130	embryo.all
AT4G20140	embryo.all
AT4G21070	embryo.all
AT4G21160	embryo.all
AT4G21480	embryo.all
AT4G21810	embryo.all
AT4G21820	embryo.all
AT4G21880	embryo.all
AT4G22330	embryo.all
AT4G22670	embryo.all
AT4G22760	embryo.all
AT4G22790	embryo.all
AT4G22840	embryo.all
AT4G23060	embryo.all
AT4G23540	embryo.all
AT4G23570	embryo.all
AT4G24130	embryo.all
AT4G24175	embryo.all
AT4G24660	embryo.all
AT4G25150	embryo.all
AT4G25160	embryo.all
AT4G25240	embryo.all
AT4G25730	embryo.all
AT4G25890	embryo.all
AT4G26000	embryo.all
AT4G26190	embryo.all
AT4G26230	embryo.all
AT4G26600	embryo.all
AT4G26840	embryo.all
AT4G26870	embryo.all
AT4G27370	embryo.all
AT4G27660	embryo.all
AT4G28230	embryo.all
AT4G28310	embryo.all
AT4G28450	embryo.all
AT4G28590	embryo.all
AT4G29010	embryo.all
AT4G29030	embryo.all
AT4G29430	embryo.all
AT4G29830	embryo.all
AT4G29910	embryo.all
AT4G29960	embryo.all
AT4G30330	embryo.all
AT4G30680	embryo.all
AT4G30700	embryo.all
AT4G30720	embryo.all
AT4G30840	embryo.all
AT4G30860	embryo.all
AT4G31210	embryo.all
AT4G31360	embryo.all
AT4G31460	embryo.all
AT4G31615	embryo.all
AT4G31680	embryo.all
AT4G31770	embryo.all
AT4G31820	embryo.all
AT4G32540	embryo.all
AT4G32600	embryo.all
AT4G32650	embryo.all
AT4G32680	embryo.all
AT4G32915	embryo.all
AT4G33100	embryo.all
AT4G33170	embryo.all
AT4G33280	embryo.all
AT4G33760	embryo.all
AT4G33990	embryo.all
AT4G34120	embryo.all
AT4G34160	embryo.all
AT4G34290	embryo.all
AT4G34430	embryo.all
AT4G34480	embryo.all
AT4G34910	embryo.all
AT4G34950	embryo.all
AT4G35050	embryo.all
AT4G35130	embryo.all
AT4G35220	embryo.all
AT4G35590	embryo.all
AT4G35750	embryo.all
AT4G35910	embryo.all
AT4G36210	embryo.all
AT4G36680	embryo.all
AT4G36760	embryo.all
AT4G36930	embryo.all
AT4G37170	embryo.all
AT4G37380	embryo.all
AT4G37610	embryo.all
AT4G37760	embryo.all
AT4G37910	embryo.all
AT4G38100	embryo.all
AT4G38250	embryo.all
AT4G39090	embryo.all
AT4G39790	embryo.all
AT4G39840	embryo.all
AT4G39850	embryo.all
AT5G01075	embryo.all
AT5G01180	embryo.all
AT5G01370	embryo.all
AT5G01590	embryo.all
AT5G01660	embryo.all
AT5G01870	embryo.all
AT5G01970	embryo.all
AT5G02010	embryo.all
AT5G02050	embryo.all
AT5G02590	embryo.all
AT5G02790	embryo.all
AT5G02800	embryo.all
AT5G03060	embryo.all
AT5G03080	embryo.all
AT5G03390	embryo.all
AT5G03670	embryo.all
AT5G03740	embryo.all
AT5G03770	embryo.all
AT5G03795	embryo.all
AT5G04040	embryo.all
AT5G04170	embryo.all
AT5G04240	embryo.all
AT5G04290	embryo.all
AT5G04600	embryo.all
AT5G04660	embryo.all
AT5G05200	embryo.all
AT5G05450	embryo.all
AT5G05750	embryo.all
AT5G05860	embryo.all
AT5G05940	embryo.all
AT5G06300	embryo.all
AT5G06370	embryo.all
AT5G06540	embryo.all
AT5G06940	embryo.all
AT5G07180	embryo.all
AT5G07810	embryo.all
AT5G07910	embryo.all
AT5G08020	embryo.all
AT5G08460	embryo.all
AT5G08500	embryo.all
AT5G08620	embryo.all
AT5G09590	embryo.all
AT5G09840	embryo.all
AT5G09970	embryo.all
AT5G10310	embryo.all
AT5G10400	embryo.all
AT5G10740	embryo.all
AT5G10910	embryo.all
AT5G10960	embryo.all
AT5G11070	embryo.all
AT5G11240	embryo.all
AT5G11270	embryo.all
AT5G11310	embryo.all
AT5G11480	embryo.all
AT5G11770	embryo.all
AT5G11780	embryo.all
AT5G11850	embryo.all
AT5G12020	embryo.all
AT5G12030	embryo.all
AT5G12410	embryo.all
AT5G12900	embryo.all
AT5G13520	embryo.all
AT5G13680	embryo.all
AT5G13850	embryo.all
AT5G14000	embryo.all
AT5G14580	embryo.all
AT5G14600	embryo.all
AT5G14620	embryo.all
AT5G14680	embryo.all
AT5G14750	embryo.all
AT5G14770	embryo.all
AT5G14940	embryo.all
AT5G15280	embryo.all
AT5G15390	embryo.all
AT5G15750	embryo.all
AT5G15810	embryo.all
AT5G16000	embryo.all
AT5G16060	embryo.all
AT5G16210	embryo.all
AT5G16260	embryo.all
AT5G16380	embryo.all
AT5G16720	embryo.all
AT5G16750	embryo.all
AT5G16790	embryo.all
AT5G16830	embryo.all
AT5G16850	embryo.all
AT5G17190	embryo.all
AT5G17250	embryo.all
AT5G17270	embryo.all
AT5G17290	embryo.all
AT5G17430	embryo.all
AT5G17440	embryo.all
AT5G17490	embryo.all
AT5G17700	embryo.all
AT5G17790	embryo.all
AT5G17930	embryo.all
AT5G18170	embryo.all
AT5G18570	embryo.all
AT5G18670	embryo.all
AT5G18710	embryo.all
AT5G18820	embryo.all
AT5G18850	embryo.all
AT5G18920	embryo.all
AT5G19020	embryo.all
AT5G19070	embryo.all
AT5G19300	embryo.all
AT5G19320	embryo.all
AT5G19370	embryo.all
AT5G19920	embryo.all
AT5G19960	embryo.all
AT5G20370	embryo.all
AT5G20650	embryo.all
AT5G20850	embryo.all
AT5G20890	embryo.all
AT5G22280	embryo.all
AT5G22470	embryo.all
AT5G22630	embryo.all
AT5G22810	embryo.all
AT5G22840	embryo.all
AT5G22880	embryo.all
AT5G23070	embryo.all
AT5G23290	embryo.all
AT5G23310	embryo.all
AT5G23330	embryo.all
AT5G23340	embryo.all
AT5G23480	embryo.all
AT5G23690	embryo.all
AT5G23780	embryo.all
AT5G23870	embryo.all
AT5G23940	embryo.all
AT5G24330	embryo.all
AT5G25170	embryo.all
AT5G25480	embryo.all
AT5G25800	embryo.all
AT5G25880	embryo.all
AT5G26240	embryo.all
AT5G26610	embryo.all
AT5G27230	embryo.all
AT5G27510	embryo.all
AT5G27740	embryo.all
AT5G27990	embryo.all
AT5G28310	embryo.all
AT5G28640	embryo.all
AT5G35560	embryo.all
AT5G36250	embryo.all
AT5G36950	embryo.all
AT5G36960	embryo.all
AT5G37600	embryo.all
AT5G37790	embryo.all
AT5G37930	embryo.all
AT5G38110	embryo.all
AT5G38300	embryo.all
AT5G38690	embryo.all
AT5G38730	embryo.all
AT5G39510	embryo.all
AT5G39790	embryo.all
AT5G39840	embryo.all
AT5G39860	embryo.all
AT5G39900	embryo.all
AT5G39930	embryo.all
AT5G39980	embryo.all
AT5G40160	embryo.all
AT5G40190	embryo.all
AT5G40320	embryo.all
AT5G40460	embryo.all
AT5G40630	embryo.all
AT5G40660	embryo.all
AT5G40840	embryo.all
AT5G41580	embryo.all
AT5G41850	embryo.all
AT5G42060	embryo.all
AT5G42090	embryo.all
AT5G42110	embryo.all
AT5G42570	embryo.all
AT5G42880	embryo.all
AT5G43020	embryo.all
AT5G43080	embryo.all
AT5G43150	embryo.all
AT5G43260	embryo.all
AT5G43530	embryo.all
AT5G43720	embryo.all
AT5G43830	embryo.all
AT5G43870	embryo.all
AT5G43990	embryo.all
AT5G44780	embryo.all
AT5G45140	embryo.all
AT5G45410	embryo.all
AT5G45700	embryo.all
AT5G45780	embryo.all
AT5G46070	embryo.all
AT5G46280	embryo.all
AT5G46400	embryo.all
AT5G46550	embryo.all
AT5G46640	embryo.all
AT5G46680	embryo.all
AT5G46690	embryo.all
AT5G47070	embryo.all
AT5G47170	embryo.all
AT5G47210	embryo.all
AT5G47380	embryo.all
AT5G47420	embryo.all
AT5G47600	embryo.all
AT5G47620	embryo.all
AT5G47640	embryo.all
AT5G47690	embryo.all
AT5G48240	embryo.all
AT5G48470	embryo.all
AT5G48500	embryo.all
AT5G48900	embryo.all
AT5G48940	embryo.all
AT5G49030	embryo.all
AT5G49100	embryo.all
AT5G49120	embryo.all
AT5G49160	embryo.all
AT5G49370	embryo.all
AT5G49380	embryo.all
AT5G49400	embryo.all
AT5G49610	embryo.all
AT5G49700	embryo.all
AT5G49780	embryo.all
AT5G49910	embryo.all
AT5G50310	embryo.all
AT5G50370	embryo.all
AT5G50740	embryo.all
AT5G50780	embryo.all
AT5G50890	embryo.all
AT5G51120	embryo.all
AT5G51460	embryo.all
AT5G51560	embryo.all
AT5G51570	embryo.all
AT5G51670	embryo.all
AT5G51750	embryo.all
AT5G52100	embryo.all
AT5G52380	embryo.all
AT5G52860	embryo.all
AT5G52910	embryo.all
AT5G52950	embryo.all
AT5G53060	embryo.all
AT5G53070	embryo.all
AT5G53210	embryo.all
AT5G53290	embryo.all
AT5G53660	embryo.all
AT5G54260	embryo.all
AT5G54880	embryo.all
AT5G54910	embryo.all
AT5G55220	embryo.all
AT5G55620	embryo.all
AT5G55660	embryo.all
AT5G55820	embryo.all
AT5G55920	embryo.all
AT5G56220	embryo.all
AT5G56460	embryo.all
AT5G56590	embryo.all
AT5G56730	embryo.all
AT5G56880	embryo.all
AT5G57080	embryo.all
AT5G57120	embryo.all
AT5G57130	embryo.all
AT5G57280	embryo.all
AT5G57290	embryo.all
AT5G57390	embryo.all
AT5G57990	embryo.all
AT5G58110	embryo.all
AT5G58280	embryo.all
AT5G58650	embryo.all
AT5G58760	embryo.all
AT5G59340	embryo.all
AT5G59870	embryo.all
AT5G60200	embryo.all
AT5G60960	embryo.all
AT5G61070	embryo.all
AT5G61190	embryo.all
AT5G61280	embryo.all
AT5G61300	embryo.all
AT5G61330	embryo.all
AT5G61770	embryo.all
AT5G61800	embryo.all
AT5G61865	embryo.all
AT5G62100	embryo.all
AT5G62440	embryo.all
AT5G62550	embryo.all
AT5G62850	embryo.all
AT5G62960	embryo.all
AT5G62990	embryo.all
AT5G63420	embryo.all
AT5G63440	embryo.all
AT5G63630	embryo.all
AT5G63910	embryo.all
AT5G63920	embryo.all
AT5G64230	embryo.all
AT5G64370	embryo.all
AT5G64530	embryo.all
AT5G64580	embryo.all
AT5G64670	embryo.all
AT5G64680	embryo.all
AT5G64980	embryo.all
AT5G65120	embryo.all
AT5G65230	embryo.all
AT5G65360	embryo.all
AT5G65410	embryo.all
AT5G65710	embryo.all
AT5G65960	embryo.all
AT5G66090	embryo.all
AT5G66500	embryo.all
AT5G66520	embryo.all
AT5G66750	embryo.all
AT5G66780	embryo.all
AT5G66800	embryo.all
AT5G66940	embryo.all
AT5G66960	embryo.all
AT5G67100	embryo.all
AT5G67260	embryo.all
AT5G67320	embryo.all
AT3G54630	embryo.proper
AT1G11130	embryo.proper
AT1G55460	embryo.proper
AT5G19310	embryo.proper
ATCG00580	embryo.proper
AT2G35600	embryo.proper
AT2G42840	embryo.proper
ATCG00770	embryo.proper
AT3G26050	embryo.proper
AT1G68790	embryo.proper
ATCG01100	embryo.proper
AT2G16270	embryo.proper
AT3G54080	embryo.proper
AT2G44200	embryo.proper
AT5G51380	embryo.proper
ATCG00350	embryo.proper
AT5G03210	embryo.proper
AT5G62990	embryo.proper
ATCG01090	embryo.proper
AT2G34357	embryo.proper
AT3G44460	embryo.proper
AT1G02710	embryo.proper
AT2G03070	embryo.proper
AT4G25835	embryo.proper
