TAIRID	Tissue_specificity
AT1G77000	chalazal.endosperm
AT1G77110	chalazal.endosperm
AT1G78220	chalazal.endosperm
AT1G78500	chalazal.endosperm
AT1G79270	chalazal.endosperm
AT1G79450	chalazal.endosperm
AT1G80340	chalazal.endosperm
AT2G02990	chalazal.endosperm
AT2G03190	chalazal.endosperm
AT2G03410	chalazal.endosperm
AT2G04460	chalazal.endosperm
AT2G04730	chalazal.endosperm
AT2G04760	chalazal.endosperm
AT2G04920	chalazal.endosperm
AT2G12480	chalazal.endosperm
AT2G14550	chalazal.endosperm
AT2G16360	chalazal.endosperm
AT2G16450	chalazal.endosperm
AT2G17050	chalazal.endosperm
AT2G17310	chalazal.endosperm
AT2G18420	chalazal.endosperm
AT2G18590	chalazal.endosperm
AT2G18800	chalazal.endosperm
AT2G19610	chalazal.endosperm
AT2G19880	chalazal.endosperm
AT2G19900	chalazal.endosperm
AT2G19970	chalazal.endosperm
AT2G21110	chalazal.endosperm
AT2G21420	chalazal.endosperm
AT2G22050	chalazal.endosperm
AT2G23210	chalazal.endosperm
AT2G23990	chalazal.endosperm
AT2G24640	chalazal.endosperm
AT2G24880	chalazal.endosperm
AT2G25630	chalazal.endosperm
AT2G26720	chalazal.endosperm
AT2G27700	chalazal.endosperm
AT2G29890	chalazal.endosperm
AT2G30110	chalazal.endosperm
AT2G30900	chalazal.endosperm
AT2G31750	chalazal.endosperm
AT2G31760	chalazal.endosperm
AT2G31945	chalazal.endosperm
AT2G32930	chalazal.endosperm
AT2G34580	chalazal.endosperm
AT2G35670	chalazal.endosperm
AT2G37420	chalazal.endosperm
AT2G37670	chalazal.endosperm
AT2G37750	chalazal.endosperm
AT2G38470	chalazal.endosperm
AT2G38500	chalazal.endosperm
AT2G39590	chalazal.endosperm
AT2G39980	chalazal.endosperm
AT2G40820	chalazal.endosperm
AT2G41260	chalazal.endosperm
AT2G42090	chalazal.endosperm
AT2G42440	chalazal.endosperm
AT2G42490	chalazal.endosperm
AT2G43670	chalazal.endosperm
AT2G44560	chalazal.endosperm
AT2G44590	chalazal.endosperm
AT2G46130	chalazal.endosperm
AT2G47430	chalazal.endosperm
